Instructions for case number 1:
1: Number 1 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
587: Number 4 cannot be at (2,8); reason: row 0 definitely has this number in this quadrant; possiblities left: [3].
588: Number 6 cannot be at (7,4); reason: column 5 definitely has this number in this quadrant; possiblities left: [2].
589: Number 6 cannot be at (8,4); reason: column 5 definitely has this number in this quadrant; possiblities left: [1].
590: Number 3 cannot be at (2,3); reason: discovered number 4 in its place; possiblities left: [4].
591: Number 8 cannot be at (2,3); reason: discovered number 4 in its place; possiblities left: [4].
592: Number 8 cannot be at (2,5); reason: discovered the number 8 at the same row at position (2,7); possiblities left: [1].
593: Number 8 cannot be at (3,7); reason: discovered the number 8 at the same column at position (2,7); possiblities left: [9].
594: Number 8 cannot be at (4,7); reason: discovered the number 8 at the same column at position (2,7); possiblities left: [2].
595: Discovered number 8 at position (3,6); reason: it is the last possibility for the quadrant; discoveries: 41.
596: Number 8 cannot be at (1,6); reason: discovered the number 8 at the same quadrant at position (2,7); possiblities left: [1].
597: Discovered number 1 at position (1,6); reason: it is the last possibility for the cell; discoveries: 42.
598: Number 1 cannot be at (3,6); reason: discovered number 8 in its place; possiblities left: [8].
599: Number 6 cannot be at (3,6); reason: discovered number 8 in its place; possiblities left: [8].
600: Discovered number 6 at position (0,6); reason: it is the last possibility for the column; discoveries: 43.
601: Number 8 cannot be at (3,3); reason: discovered the number 8 at the same row at position (3,6); possiblities left: [2].
602: Number 8 cannot be at (3,4); reason: discovered the number 8 at the same row at position (3,6); possiblities left: [3].
603: Number 1 cannot be at (0,8); reason: column 6 definitely has this number in this quadrant; possiblities left: [9].
604: Number 1 cannot be at (1,8); reason: column 6 definitely has this number in this quadrant; possiblities left: [5].
605: Discovered number 5 at position (1,8); reason: it is the last possibility for the cell; discoveries: 44.
606: Number 1 cannot be at (2,8); reason: column 6 definitely has this number in this quadrant; possiblities left: [3].
607: Number 6 cannot be at (0,8); reason: column 6 definitely has this number in this quadrant; possiblities left: [9].
608: Number 6 cannot be at (2,8); reason: column 6 definitely has this number in this quadrant; possiblities left: [3].
609: Discovered number 6 at position (2,0); reason: it is the last possibility for the row; discoveries: 45.
610: Discovered number 3 at position (2,8); reason: it is the last possibility for the cell; discoveries: 46.
611: Number 1 cannot be at (0,6); reason: discovered number 6 in its place; possiblities left: [6].
612: Number 6 cannot be at (0,1); reason: discovered the number 6 at the same row at position (0,6); possiblities left: [1].
613: Discovered number 1 at position (0,1); reason: it is the last possibility for the cell; discoveries: 47.
614: Number 1 cannot be at (1,4); reason: discovered the number 1 at the same row at position (1,6); possiblities left: [8].
615: Number 1 cannot be at (1,5); reason: discovered the number 1 at the same row at position (1,6); possiblities left: [2].
616: Number 5 cannot be at (1,4); reason: discovered the number 5 at the same row at position (1,8); possiblities left: [8].
617: Discovered number 5 at position (0,4); reason: it is the last possibility for the column; discoveries: 48.
618: Number 5 cannot be at (0,8); reason: discovered the number 5 at the same column at position (1,8); possiblities left: [9].
619: Number 5 cannot be at (8,8); reason: discovered the number 5 at the same column at position (1,8); possiblities left: [2].
620: Discovered number 5 at position (8,7); reason: it is the last possibility for the row; discoveries: 49.
621: Discovered number 2 at position (8,8); reason: it is the last possibility for the cell; discoveries: 50.
622: Number 5 cannot be at (0,7); reason: discovered the number 5 at the same quadrant at position (1,8); possiblities left: [4].
623: Number 1 cannot be at (2,0); reason: discovered number 6 in its place; possiblities left: [6].
624: Discovered number 1 at position (2,5); reason: it is the last possibility for the row; discoveries: 51.
625: Number 6 cannot be at (3,0); reason: discovered the number 6 at the same column at position (2,0); possiblities left: [1].
626: Number 6 cannot be at (4,0); reason: discovered the number 6 at the same column at position (2,0); possiblities left: [3].
627: Number 6 cannot be at (8,0); reason: discovered the number 6 at the same column at position (2,0); possiblities left: [7].
628: Number 3 cannot be at (2,5); reason: discovered number 1 in its place; possiblities left: [1].
629: Number 1 cannot be at (0,5); reason: discovered the number 1 at the same column at position (2,5); possiblities left: [3].
630: Discovered number 3 at position (0,5); reason: it is the last possibility for the cell; discoveries: 52.
631: Number 1 cannot be at (8,5); reason: discovered the number 1 at the same column at position (2,5); possiblities left: [8].
632: Discovered number 1 at position (8,4); reason: it is the last possibility for the row; discoveries: 53.
633: Number 1 cannot be at (0,4); reason: discovered the number 1 at the same quadrant at position (2,5); possiblities left: [5].
634: Number 3 cannot be at (0,8); reason: discovered the number 3 at the same column at position (2,8); possiblities left: [9].
635: Number 3 cannot be at (8,4); reason: discovered number 1 in its place; possiblities left: [1].
636: Number 8 cannot be at (8,4); reason: discovered number 1 in its place; possiblities left: [1].
637: Number 2 cannot be at (8,7); reason: discovered number 5 in its place; possiblities left: [5].
638: Number 2 cannot be at (3,8); reason: discovered the number 2 at the same column at position (8,8); possiblities left: [6].
639: Number 2 cannot be at (4,8); reason: discovered the number 2 at the same column at position (8,8); possiblities left: [1].
640: Number 2 cannot be at (5,8); reason: discovered the number 2 at the same column at position (8,8); possiblities left: [4].
641: Discovered number 2 at position (5,0); reason: it is the last possibility for the row; discoveries: 54.
642: Discovered number 4 at position (5,8); reason: it is the last possibility for the cell; discoveries: 55.
643: Number 1 cannot be at (4,1); reason: column 0 definitely has this number in this quadrant; possiblities left: [6].
644: Number 2 cannot be at (3,0); reason: row 5 definitely has this number in this quadrant; possiblities left: [1].
645: Number 2 cannot be at (4,0); reason: row 5 definitely has this number in this quadrant; possiblities left: [3].
646: Number 3 cannot be at (0,4); reason: discovered number 5 in its place; possiblities left: [5].
647: Number 3 cannot be at (7,5); reason: discovered the number 3 at the same column at position (0,5); possiblities left: [6].
648: Number 3 cannot be at (8,5); reason: discovered the number 3 at the same column at position (0,5); possiblities left: [8].
649: Number 7 cannot be at (5,0); reason: discovered number 2 in its place; possiblities left: [2].
650: Discovered number 7 at position (5,2); reason: it is the last possibility for the row; discoveries: 56.
651: Discovered number 7 at position (8,0); reason: it is the last possibility for the column; discoveries: 57.
652: Number 4 cannot be at (5,2); reason: discovered number 7 in its place; possiblities left: [7].
653: Discovered number 4 at position (3,2); reason: it is the last possibility for the column; discoveries: 58.
654: Number 7 cannot be at (8,2); reason: discovered the number 7 at the same column at position (5,2); possiblities left: [6].
655: Discovered number 6 at position (8,2); reason: it is the last possibility for the cell; discoveries: 59.
656: Number 4 cannot be at (0,8); reason: discovered the number 4 at the same column at position (5,8); possiblities left: [9].
657: Discovered number 4 at position (0,7); reason: it is the last possibility for the row; discoveries: 60.
658: Discovered number 9 at position (0,8); reason: it is the last possibility for the cell; discoveries: 61.
659: Number 4 cannot be at (3,8); reason: discovered the number 4 at the same column at position (5,8); possiblities left: [6].
660: Number 4 cannot be at (3,7); reason: discovered the number 4 at the same quadrant at position (5,8); possiblities left: [9].
661: Number 3 cannot be at (8,0); reason: discovered number 7 in its place; possiblities left: [7].
662: Discovered number 3 at position (8,3); reason: it is the last possibility for the row; discoveries: 62.
663: Discovered number 3 at position (7,1); reason: it is the last possibility for the quadrant; discoveries: 63.
664: Number 6 cannot be at (8,5); reason: discovered the number 6 at the same row at position (8,2); possiblities left: [8].
665: Discovered number 6 at position (7,5); reason: it is the last possibility for the column; discoveries: 64.
666: Discovered number 8 at position (8,5); reason: it is the last possibility for the cell; discoveries: 65.
667: Number 6 cannot be at (3,2); reason: discovered the number 6 at the same column at position (8,2); possiblities left: [4].
668: Number 6 cannot be at (4,2); reason: discovered the number 6 at the same column at position (8,2); possiblities left: [9].
669: Discovered number 9 at position (4,2); reason: it is the last possibility for the cell; discoveries: 66.
670: Number 6 cannot be at (7,1); reason: discovered the number 6 at the same quadrant at position (8,2); possiblities left: [3].
671: Number 8 cannot be at (8,3); reason: discovered number 3 in its place; possiblities left: [3].
672: Discovered number 8 at position (4,3); reason: it is the last possibility for the column; discoveries: 67.
673: Number 3 cannot be at (3,3); reason: discovered the number 3 at the same column at position (8,3); possiblities left: [2].
674: Discovered number 2 at position (3,3); reason: it is the last possibility for the cell; discoveries: 68.
675: Number 3 cannot be at (4,3); reason: discovered the number 3 at the same column at position (8,3); possiblities left: [8].
676: Discovered number 3 at position (3,4); reason: it is the last possibility for the quadrant; discoveries: 69.
677: Number 3 cannot be at (7,4); reason: discovered the number 3 at the same quadrant at position (8,3); possiblities left: [2].
678: Discovered number 2 at position (7,4); reason: it is the last possibility for the cell; discoveries: 70.
679: Number 8 cannot be at (1,5); reason: discovered the number 8 at the same column at position (8,5); possiblities left: [2].
680: Discovered number 8 at position (1,4); reason: it is the last possibility for the row; discoveries: 71.
681: Discovered number 2 at position (1,5); reason: it is the last possibility for the cell; discoveries: 72.
682: Number 3 cannot be at (4,1); reason: column 0 definitely has this number in this quadrant; possiblities left: [6].
683: Discovered number 3 at position (4,0); reason: it is the last possibility for the row; discoveries: 73.
684: Number 8 cannot be at (5,4); reason: column 3 definitely has this number in this quadrant; possiblities left: [6].
685: Discovered number 8 at position (5,1); reason: it is the last possibility for the row; discoveries: 74.
686: Discovered number 6 at position (5,4); reason: it is the last possibility for the cell; discoveries: 75.
687: Number 3 cannot be at (3,0); reason: row 4 definitely has this number in this quadrant; possiblities left: [1].
688: Discovered number 1 at position (3,0); reason: it is the last possibility for the cell; discoveries: 76.
689: Number 8 cannot be at (4,1); reason: row 5 definitely has this number in this quadrant; possiblities left: [6].
690: Discovered number 6 at position (4,1); reason: it is the last possibility for the cell; discoveries: 77.
691: Number 9 cannot be at (0,7); reason: discovered number 4 in its place; possiblities left: [4].
692: Number 9 cannot be at (3,8); reason: discovered the number 9 at the same column at position (0,8); possiblities left: [6].
693: Number 9 cannot be at (4,8); reason: discovered the number 9 at the same column at position (0,8); possiblities left: [1].
694: Number 2 cannot be at (1,4); reason: discovered number 8 in its place; possiblities left: [8].
695: Number 2 cannot be at (7,5); reason: discovered the number 2 at the same column at position (1,5); possiblities left: [6].
696: Number 1 cannot be at (3,8); reason: discovered the number 1 at the same row at position (3,0); possiblities left: [6].
697: Discovered number 1 at position (4,8); reason: it is the last possibility for the column; discoveries: 78.
698: Discovered number 6 at position (3,8); reason: it is the last possibility for the cell; discoveries: 79.
699: Number 1 cannot be at (4,0); reason: discovered the number 1 at the same column at position (3,0); possiblities left: [3].
700: Number 9 cannot be at (3,2); reason: discovered number 4 in its place; possiblities left: [4].
701: Discovered number 9 at position (3,7); reason: it is the last possibility for the row; discoveries: 80.
702: Number 2 cannot be at (3,7); reason: discovered the number 2 at the same row at position (3,3); possiblities left: [9].
703: Discovered number 2 at position (4,7); reason: it is the last possibility for the column; discoveries: 81.
704: Number 2 cannot be at (4,3); reason: discovered the number 2 at the same column at position (3,3); possiblities left: [8].
705: Number 6 cannot be at (3,4); reason: discovered number 3 in its place; possiblities left: [3].
706: Number 9 cannot be at (4,7); reason: discovered the number 9 at the same column at position (3,7); possiblities left: [2].
707: Number 6 cannot be at (4,8); reason: discovered the number 6 at the same column at position (3,8); possiblities left: [1].
708: Number 6 cannot be at (5,1); reason: discovered the number 6 at the same column at position (4,1); possiblities left: [8].
3 3
8 1 2 7 5 3 6 4 9
9 4 3 6 8 2 1 7 5
6 7 5 4 9 1 2 8 3
1 5 4 2 3 7 8 9 6
3 6 9 8 4 5 7 2 1
2 8 7 1 6 9 5 3 4
5 2 1 9 7 4 3 6 8
4 3 8 5 2 6 9 1 7
7 9 6 3 1 8 4 5 2
Instructions for case number 2:
1: Number 1 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
2: Number 2 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
3: Number 3 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
4: Number 4 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
5: Number 6 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
6: Number 7 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
7: Number 8 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
8: Number 9 cannot be at (0,2); reason: discovered number 5 in its place; possiblities left: [5].
9: Number 5 cannot be at (0,0); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [1].
10: Number 5 cannot be at (0,1); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [4].
11: Number 5 cannot be at (0,3); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [3].
12: Number 5 cannot be at (0,4); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [2].
13: Number 5 cannot be at (0,5); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [7].
14: Number 5 cannot be at (0,6); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [6].
15: Number 5 cannot be at (0,7); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [9].
16: Number 5 cannot be at (0,8); reason: discovered the number 5 at the same row at position (0,2); possiblities left: [8].
17: Number 5 cannot be at (1,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [9].
18: Number 5 cannot be at (2,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [2].
19: Number 5 cannot be at (3,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [6].
20: Number 5 cannot be at (4,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [8].
21: Number 5 cannot be at (5,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [3].
22: Number 5 cannot be at (6,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [7].
23: Number 5 cannot be at (7,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [4].
24: Number 5 cannot be at (8,2); reason: discovered the number 5 at the same column at position (0,2); possiblities left: [1].
25: Number 5 cannot be at (1,0); reason: discovered the number 5 at the same quadrant at position (0,2); possiblities left: [8].
26: Number 5 cannot be at (1,1); reason: discovered the number 5 at the same quadrant at position (0,2); possiblities left: [3].
27: Number 5 cannot be at (2,0); reason: discovered the number 5 at the same quadrant at position (0,2); possiblities left: [6].
28: Number 5 cannot be at (2,1); reason: discovered the number 5 at the same quadrant at position (0,2); possiblities left: [7].
29: Number 1 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
30: Number 2 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
31: Number 4 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
32: Number 6 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
33: Number 7 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
34: Number 8 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
35: Number 9 cannot be at (0,3); reason: discovered number 3 in its place; possiblities left: [3].
36: Number 3 cannot be at (0,0); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [1].
37: Number 3 cannot be at (0,1); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [4].
38: Number 3 cannot be at (0,4); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [2].
39: Number 3 cannot be at (0,5); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [7].
40: Number 3 cannot be at (0,6); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [6].
41: Number 3 cannot be at (0,7); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [9].
42: Number 3 cannot be at (0,8); reason: discovered the number 3 at the same row at position (0,3); possiblities left: [8].
43: Number 3 cannot be at (1,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [6].
44: Number 3 cannot be at (2,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [9].
45: Number 3 cannot be at (3,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [1].
46: Number 3 cannot be at (4,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [4].
47: Number 3 cannot be at (5,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [2].
48: Number 3 cannot be at (6,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [5].
49: Number 3 cannot be at (7,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [7].
50: Number 3 cannot be at (8,3); reason: discovered the number 3 at the same column at position (0,3); possiblities left: [8].
51: Number 3 cannot be at (1,4); reason: discovered the number 3 at the same quadrant at position (0,3); possiblities left: [5].
52: Number 3 cannot be at (1,5); reason: discovered the number 3 at the same quadrant at position (0,3); possiblities left: [4].
53: Number 3 cannot be at (2,4); reason: discovered the number 3 at the same quadrant at position (0,3); possiblities left: [1].
54: Number 3 cannot be at (2,5); reason: discovered the number 3 at the same quadrant at position (0,3); possiblities left: [8].
55: Number 1 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
56: Number 2 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
57: Number 3 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
58: Number 4 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
59: Number 6 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
60: Number 7 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
61: Number 9 cannot be at (1,0); reason: discovered number 8 in its place; possiblities left: [8].
62: Number 8 cannot be at (1,1); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [3].
63: Number 8 cannot be at (1,2); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [9].
64: Number 8 cannot be at (1,3); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [6].
65: Number 8 cannot be at (1,4); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [5].
66: Number 8 cannot be at (1,5); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [4].
67: Number 8 cannot be at (1,6); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [1].
68: Number 8 cannot be at (1,7); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [2].
69: Number 8 cannot be at (1,8); reason: discovered the number 8 at the same row at position (1,0); possiblities left: [7].
70: Number 8 cannot be at (0,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [1].
71: Number 8 cannot be at (2,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [6].
72: Number 8 cannot be at (3,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [4].
73: Number 8 cannot be at (4,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [2].
74: Number 8 cannot be at (5,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [7].
75: Number 8 cannot be at (6,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [3].
76: Number 8 cannot be at (7,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [9].
77: Number 8 cannot be at (8,0); reason: discovered the number 8 at the same column at position (1,0); possiblities left: [5].
78: Number 8 cannot be at (0,1); reason: discovered the number 8 at the same quadrant at position (1,0); possiblities left: [4].
79: Number 8 cannot be at (2,1); reason: discovered the number 8 at the same quadrant at position (1,0); possiblities left: [7].
80: Number 8 cannot be at (2,2); reason: discovered the number 8 at the same quadrant at position (1,0); possiblities left: [2].
81: Number 1 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
82: Number 3 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
83: Number 4 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
84: Number 5 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
85: Number 6 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
86: Number 7 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
87: Number 9 cannot be at (1,7); reason: discovered number 2 in its place; possiblities left: [2].
88: Number 2 cannot be at (1,1); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [3].
89: Number 2 cannot be at (1,2); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [9].
90: Number 2 cannot be at (1,3); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [6].
91: Number 2 cannot be at (1,4); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [5].
92: Number 2 cannot be at (1,5); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [4].
93: Number 2 cannot be at (1,6); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [1].
94: Number 2 cannot be at (1,8); reason: discovered the number 2 at the same row at position (1,7); possiblities left: [7].
95: Number 2 cannot be at (0,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [9].
96: Number 2 cannot be at (2,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [4].
97: Number 2 cannot be at (3,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [7].
98: Number 2 cannot be at (4,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [5].
99: Number 2 cannot be at (5,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [8].
100: Number 2 cannot be at (6,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [1].
101: Number 2 cannot be at (7,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [3].
102: Number 2 cannot be at (8,7); reason: discovered the number 2 at the same column at position (1,7); possiblities left: [6].
103: Number 2 cannot be at (0,6); reason: discovered the number 2 at the same quadrant at position (1,7); possiblities left: [6].
104: Number 2 cannot be at (0,8); reason: discovered the number 2 at the same quadrant at position (1,7); possiblities left: [8].
105: Number 2 cannot be at (2,6); reason: discovered the number 2 at the same quadrant at position (1,7); possiblities left: [5].
106: Number 2 cannot be at (2,8); reason: discovered the number 2 at the same quadrant at position (1,7); possiblities left: [3].
107: Number 1 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
108: Number 2 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
109: Number 3 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
110: Number 4 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
111: Number 6 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
112: Number 9 cannot be at (2,1); reason: discovered number 7 in its place; possiblities left: [7].
113: Number 7 cannot be at (2,0); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [6].
114: Number 7 cannot be at (2,2); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [2].
115: Number 7 cannot be at (2,3); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [9].
116: Number 7 cannot be at (2,4); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [1].
117: Number 7 cannot be at (2,5); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [8].
118: Number 7 cannot be at (2,6); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [5].
119: Number 7 cannot be at (2,7); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [4].
120: Number 7 cannot be at (2,8); reason: discovered the number 7 at the same row at position (2,1); possiblities left: [3].
121: Number 7 cannot be at (0,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [4].
122: Number 7 cannot be at (1,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [3].
123: Number 7 cannot be at (3,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [9].
124: Number 7 cannot be at (4,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [1].
125: Number 7 cannot be at (5,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [5].
126: Number 7 cannot be at (6,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [6].
127: Number 7 cannot be at (7,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [8].
128: Number 7 cannot be at (8,1); reason: discovered the number 7 at the same column at position (2,1); possiblities left: [2].
129: Number 7 cannot be at (0,0); reason: discovered the number 7 at the same quadrant at position (2,1); possiblities left: [1].
130: Number 7 cannot be at (1,2); reason: discovered the number 7 at the same quadrant at position (2,1); possiblities left: [9].
131: Number 2 cannot be at (2,4); reason: discovered number 1 in its place; possiblities left: [1].
132: Number 4 cannot be at (2,4); reason: discovered number 1 in its place; possiblities left: [1].
133: Number 5 cannot be at (2,4); reason: discovered number 1 in its place; possiblities left: [1].
134: Number 6 cannot be at (2,4); reason: discovered number 1 in its place; possiblities left: [1].
135: Number 8 cannot be at (2,4); reason: discovered number 1 in its place; possiblities left: [1].
136: Number 9 cannot be at (2,4); reason: discovered number 1 in its place; possiblities left: [1].
137: Number 1 cannot be at (2,0); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [6].
138: Number 1 cannot be at (2,2); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [2].
139: Number 1 cannot be at (2,3); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [9].
140: Number 1 cannot be at (2,5); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [8].
141: Number 1 cannot be at (2,6); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [5].
142: Number 1 cannot be at (2,7); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [4].
143: Number 1 cannot be at (2,8); reason: discovered the number 1 at the same row at position (2,4); possiblities left: [3].
144: Number 1 cannot be at (0,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [2].
145: Number 1 cannot be at (1,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [5].
146: Number 1 cannot be at (3,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [8].
147: Number 1 cannot be at (4,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [7].
148: Number 1 cannot be at (5,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [9].
149: Number 1 cannot be at (6,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [4].
150: Number 1 cannot be at (7,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [6].
151: Number 1 cannot be at (8,4); reason: discovered the number 1 at the same column at position (2,4); possiblities left: [3].
152: Number 1 cannot be at (0,5); reason: discovered the number 1 at the same quadrant at position (2,4); possiblities left: [7].
153: Number 1 cannot be at (1,3); reason: discovered the number 1 at the same quadrant at position (2,4); possiblities left: [6].
154: Number 1 cannot be at (1,5); reason: discovered the number 1 at the same quadrant at position (2,4); possiblities left: [4].
155: Number 3 cannot be at (2,6); reason: discovered number 5 in its place; possiblities left: [5].
156: Number 4 cannot be at (2,6); reason: discovered number 5 in its place; possiblities left: [5].
157: Number 6 cannot be at (2,6); reason: discovered number 5 in its place; possiblities left: [5].
158: Number 8 cannot be at (2,6); reason: discovered number 5 in its place; possiblities left: [5].
159: Number 9 cannot be at (2,6); reason: discovered number 5 in its place; possiblities left: [5].
160: Number 5 cannot be at (2,3); reason: discovered the number 5 at the same row at position (2,6); possiblities left: [9].
161: Number 5 cannot be at (2,5); reason: discovered the number 5 at the same row at position (2,6); possiblities left: [8].
162: Number 5 cannot be at (2,7); reason: discovered the number 5 at the same row at position (2,6); possiblities left: [4].
163: Number 5 cannot be at (2,8); reason: discovered the number 5 at the same row at position (2,6); possiblities left: [3].
164: Number 5 cannot be at (1,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [1].
165: Number 5 cannot be at (3,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [3].
166: Number 5 cannot be at (4,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [9].
167: Number 5 cannot be at (5,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [4].
168: Number 5 cannot be at (6,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [8].
169: Number 5 cannot be at (7,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [2].
170: Number 5 cannot be at (8,6); reason: discovered the number 5 at the same column at position (2,6); possiblities left: [7].
171: Number 5 cannot be at (1,8); reason: discovered the number 5 at the same quadrant at position (2,6); possiblities left: [7].
172: Number 1 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
173: Number 2 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
174: Number 3 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
175: Number 5 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
176: Number 6 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
